date,Precio_Petroleo,ISE,Tasa de política monetaria(Dato mes),Inflación total(Dato fin de mes),Tasa Representativa del Mercado (TRM)(Promedio mensual),IPI,df_PIB
2018-03-01,66.89181818181818,105.784119480826,"4,50","3,14","2.852,46",97.98375384208096,NA
2018-04-01,71.93285714285715,105.017774829077,"4,50","3,13","2.765,96",97.9434345130866,213221.77909406
2018-05-01,76.93434782608696,105.583801222906,"4,25","3,16","2.862,95",99.84801095559926,NA
2018-06-01,75.80285714285714,106.254548363794,"4,25","3,20","2.893,22",98.85067960977958,NA
2018-07-01,75.22909090909091,106.028303653359,"4,25","3,12","2.885,55",101.51217667991494,214537.276229302
2018-08-01,73.85130434782609,107.539044235405,"4,25","3,10","2.959,57",104.72456753343086,NA
2018-09-01,79.163,107.113577985117,"4,25","3,23","3.037,80",102.24387693173934,NA
2018-10-01,80.78347826086957,107.248631840122,"4,25","3,33","3.080,48",103.60125136266578,215844.896888523
2018-11-01,66.22863636363635,107.558408777258,"4,25","3,27","3.198,13",104.49007325376348,NA
2018-12-01,57.94809523809524,107.255617737915,"4,25","3,18","3.212,48",102.80923181831639,NA
2019-01-01,59.94478260869565,107.920660921698,"4,25","3,15","3.161,91",96.81158972172771,217897.168137227
2019-02-01,64.384,108.862048995819,"4,25","3,01","3.115,15",95.19019402060205,NA
2019-03-01,66.94190476190477,107.500912955429,"4,25","3,21","3.125,34",101.20577275389915,NA
2019-04-01,71.47590909090908,108.943118252357,"4,25","3,25","3.155,22",98.26472471108586,219673.480853025
2019-05-01,70.389130434782615,110.027955403744,"4,25","3,31","3.310,49",102.31911603010208,NA
2019-06-01,63.2085,108.873202398737,"4,25","3,43","3.256,02",99.04729631435038,NA
2019-07-01,64.32217391304349,110.499677176009,"4,25","3,79","3.208,11",104.84669002070464,221065.735842442
2019-08-01,59.61818181818182,110.443221098877,"4,25","3,75","3.412,65",105.46700871471238,NA
2019-09-01,62.43095238095238,109.500377528865,"4,25","3,82","3.399,62",103.04514174455727,NA
2019-10-01,59.63130434782609,110.544111915157,"4,25","3,86","3.437,73",106.85175670579582,222587.615167306
2019-11-01,62.68666666666667,110.076395470824,"4,25","3,84","3.411,42",104.06564137407692,NA
2019-12-01,65.34818181818181,110.429555783606,"4,25","3,80","3.383,00",105.29195729338922,NA
2020-01-01,63.89869565217391,111.566229768345,"4,25","3,62","3.317,37",98.78011306018645,218242.059136569
2020-02-01,55.691,111.771488138171,"4,25","3,72","3.408,24",99.7620430452363,NA
2020-03-01,33.94727272727273,100.706787886741,"4,25","3,86","3.870,01",93.22685567223093,NA
2020-04-01,26.84863636363636,86.8473831243467,"3,75","3,51","3.986,56",69.03637765607633,183134.664353378
